date,close,open,high,low
2012-01-02,76.95,77.04,77.07,76.86
2012-01-03,76.74,76.95,76.96,76.63
2012-01-04,76.72,76.74,76.83,76.61
2012-01-05,77.17,76.72,77.25,76.66
2012-01-06,76.96,77.17,77.34,76.96
2012-01-09,76.88,76.94,77.01,76.77
2012-01-10,76.86,76.88,76.91,76.78
2012-01-11,76.87,76.86,77.04,76.84
2012-01-12,76.79,76.87,76.98,76.67
2012-01-13,76.96,76.79,77.01,76.67
2012-01-16,76.83,76.93,76.94,76.70
2012-01-17,76.82,76.83,76.88,76.56
2012-01-18,76.79,76.82,76.87,76.65
2012-01-19,77.08,76.79,77.32,76.70
2012-01-20,77.02,77.08,77.30,76.92
2012-01-23,77.00,76.97,77.08,76.87
2012-01-24,77.68,77.00,77.85,76.96
2012-01-25,77.78,77.69,78.28,77.56
2012-01-26,77.47,77.79,77.81,77.30
2012-01-27,76.69,77.47,77.47,76.65
2012-01-30,76.38,76.74,76.78,76.22
2012-01-31,76.27,76.38,76.42,76.16
2012-02-01,76.20,76.27,76.35,76.02
2012-02-02,76.19,76.20,76.24,76.05
2012-02-03,76.61,76.18,76.74,76.14
2012-02-06,76.57,76.57,76.80,76.50
2012-02-07,76.77,76.57,76.96,76.53
2012-02-08,77.07,76.77,77.19,76.72
2012-02-09,77.66,77.07,77.73,77.04
2012-02-10,77.61,77.66,77.81,77.52
2012-02-13,77.52,77.71,77.78,77.37
2012-02-14,78.41,77.52,78.54,77.51
2012-02-15,78.50,78.41,78.66,78.18
2012-02-16,78.83,78.50,78.96,78.37
2012-02-17,79.56,78.83,79.61,78.83
2012-02-20,79.62,79.79,79.79,79.36
2012-02-21,79.85,79.62,79.86,79.56
2012-02-22,80.27,79.85,80.40,79.78
2012-02-23,79.95,80.27,80.34,79.86
2012-02-24,81.20,79.94,81.22,79.94
2012-02-27,80.47,81.48,81.49,80.14
2012-02-28,80.48,80.47,80.79,80.02
2012-02-29,81.29,80.49,81.38,80.26
2012-03-01,81.09,81.29,81.32,80.84
2012-03-02,81.80,81.09,81.87,81.09
2012-03-05,81.53,81.62,81.79,81.16
2012-03-06,80.64,81.53,81.57,80.59
2012-03-07,81.36,80.64,81.36,80.59
2012-03-08,81.60,81.36,81.73,81.18
2012-03-09,82.48,81.60,82.64,81.48
2012-03-12,82.38,82.35,82.43,82.11
2012-03-13,82.96,82.38,83.08,81.97
2012-03-14,83.83,82.96,83.91,82.96
2012-03-15,83.50,83.84,84.18,83.20
2012-03-16,83.44,83.50,83.94,83.19
2012-03-19,83.38,83.46,83.57,83.02
2012-03-20,83.67,83.38,83.83,83.32
2012-03-21,83.20,83.67,84.10,83.14
2012-03-22,82.53,83.20,83.47,82.33
2012-03-23,82.35,82.53,82.95,81.99
2012-03-26,83.02,82.60,83.04,82.56
2012-03-27,83.07,83.02,83.38,82.64
2012-03-28,82.85,83.07,83.18,82.61
2012-03-29,82.29,82.84,82.87,81.92
2012-03-30,82.87,82.29,82.88,81.84
2012-04-02,81.64,82.89,83.30,81.56
2012-04-03,82.85,81.63,82.99,81.63
2012-04-04,82.44,82.85,82.94,82.10
2012-04-05,82.21,82.42,82.45,81.83
2012-04-06,81.64,82.22,82.56,81.33
